token,tag_true,tag_pred
%,O,O
),O,O
.,O,O
Полученные,O,O
результаты,O,O
свидетельствуют,O,O
о,O,O
возможном,O,O
вовлечении,O,O
ферментов,B-TERM,O
SULT1A1,B-TERM,O
и,O,O
CYP1A2,B-TERM,O
в,O,O
патогенез,B-TERM,B-TERM
миомы,B-TERM,I-TERM
матки,I-TERM,I-TERM
.,O,O
Тогда,O,O
в,O,O
группу,O,O
риска,O,O
этого,O,O
заболевания,O,O
попадают,O,O
женщины,O,O
",",O,O
имеющие,O,O
сочетание,O,O
дикого,O,O
SULT1A1,B-TERM,B-TERM
и,O,O
мутантного,B-TERM,B-TERM
CYP1A2,I-TERM,O
генотипов,B-TERM,B-TERM
.,O,O
Представлено,O,O
обобщенное,O,O
описание,O,B-TERM
адаптационных,B-TERM,I-TERM
реакций,I-TERM,I-TERM
липы,B-TERM,B-TERM
мелколистной,I-TERM,I-TERM
в,O,I-TERM
различных,O,O
типах,O,B-TERM
техногенных,B-TERM,I-TERM
условий,I-TERM,I-TERM
.,O,O
На,O,O
основе,O,O
многочисленных,O,O
количественных,O,O
данных,O,O
",",O,O
полученных,O,O
в,O,O
предыдущие,O,O
годы,O,O
исследований,O,O
",",O,O
составлены,O,O
схемы,O,O
реализации,O,B-TERM
адаптивного,B-TERM,I-TERM
потенциала,I-TERM,I-TERM
липы,B-TERM,B-TERM
мелколистной,I-TERM,I-TERM
в,O,I-TERM
условиях,O,B-TERM
нефтехимического,B-TERM,I-TERM
и,O,I-TERM
полиметаллического,B-TERM,B-TERM
загрязнений,I-TERM,I-TERM
.,O,O
Показана,O,O
специфичность,O,B-TERM
адаптационных,B-TERM,I-TERM
реакций,I-TERM,I-TERM
липы,B-TERM,O
",",O,O
их,O,O
зависимость,O,O
от,O,O
возраста,O,O
и,O,O
типа,O,O
загрязнения,O,O
.,O,O
Проанализировано,O,O
состояние,O,B-TERM
репродуктивного,B-TERM,I-TERM
здоровья,I-TERM,I-TERM
женщин,O,O
(,O,O
n,O,O
#ERROR!,O,O
231,O,O
),O,O
и,O,O
их,O,O
потомков,O,O
1,O,O
-,O,O
го,O,O
(,O,O
n,O,O
#ERROR!,O,O
360,O,O
),O,O
и,O,O
2,O,O
-,O,O
го,O,O
поколений,O,O
(,O,O
n,O,O
#ERROR!,O,O
112,O,O
),O,O
",",O,O
находившихся,O,O
в,O,O
зоне,B-TERM,O
радиационного,I-TERM,O
воздействия,I-TERM,O
на,O,O
следе,B-TERM,O
ядерного,I-TERM,O
взрыва,I-TERM,O
1949,O,O
г,O,O
.,O,O
на,O,O
Семипалатинском,O,O
полигоне,O,O
.,O,O
Проведено,O,O
определение,O,O
субпопуляционной,B-TERM,B-TERM
структуры,I-TERM,I-TERM
иммунокомпетентных,B-TERM,I-TERM
клеток,I-TERM,I-TERM
",",O,O
концентрации,O,O
фактора,B-TERM,B-TERM
некроза,I-TERM,I-TERM
опухоли,I-TERM,I-TERM
в,O,O
сыворотке,B-TERM,B-TERM
крови,I-TERM,I-TERM
.,O,O
Показано,O,O
преобладание,O,O
у,O,O
облученных,O,O
и,O,O
их,O,O
потомков,O,O
1,O,O
-,O,O
го,O,O
и,O,O
2,O,O
-,O,O
го,O,O
поколений,O,B-TERM
экстрагенитальной,B-TERM,I-TERM
",",O,O
гинекологической,B-TERM,B-TERM
заболеваемости,I-TERM,I-TERM
",",O,O
осложненного,B-TERM,O
течения,I-TERM,O
беременности,I-TERM,O
.,O,O
У,O,O
женщин,O,O
2,O,O
-,O,O
го,O,O
поколения,O,O
обнаружены,O,O
изменения,O,O
субпопуляционной,B-TERM,B-TERM
структуры,I-TERM,I-TERM
иммунокомпетентных,B-TERM,I-TERM
клеток,I-TERM,I-TERM
.,O,O
Выявлено,O,O
значимое,O,O
увеличение,O,O
активности,O,O
одного,O,O
из,O,O
провоспалительных,B-TERM,B-TERM
цитокинов,I-TERM,I-TERM
–,O,O
фактора,B-TERM,B-TERM
некроза,I-TERM,I-TERM
опухоли,I-TERM,I-TERM
.,O,O
Изучена,O,O
частота,O,B-TERM
легочных,B-TERM,I-TERM
осложнений,I-TERM,I-TERM
у,O,O
104,O,O
пациентов,O,O
с,O,O
сочетанными,B-TERM,O
повреждениями,I-TERM,B-TERM
груди,I-TERM,I-TERM
и,I-TERM,O
сегментов,I-TERM,B-TERM
конечностей,I-TERM,I-TERM
.,O,O
Все,O,O
пациенты,O,O
разделены,O,O
на,O,O
две,O,O
группы,O,O
:,O,O
основную,O,O
составили,O,O
46,O,O
больных,O,O
с,O,O
сочетанными,B-TERM,O
повреждениями,I-TERM,B-TERM
груди,I-TERM,I-TERM
и,I-TERM,O
конечностей,I-TERM,O
",",O,O
сравнительную,O,O
–,O,O
58,O,O
пострадавших,O,O
с,O,O
изолированными,B-TERM,O
травмами,I-TERM,O
груди,I-TERM,O
.,O,O
Установлено,O,O
",",O,O
что,O,O
легочные,B-TERM,O
осложнения,I-TERM,O
выявлены,O,O
в,O,O
91,O,O
",",O,O
3,O,O
%,O,O
случаев,O,O
у,O,O
больных,O,O
с,O,O
сочетанными,B-TERM,O
повреждениями,I-TERM,B-TERM
груди,I-TERM,I-TERM
и,I-TERM,O
конечностей,I-TERM,O
.,O,O
Двусторонние,B-TERM,B-TERM
повреждения,I-TERM,I-TERM
грудной,B-TERM,I-TERM
клетки,I-TERM,I-TERM
у,O,O
пациентов,O,O
с,O,O
сочетанными,B-TERM,O
травмами,I-TERM,O
встречались,O,O
в,O,O
3,O,O
",",O,O
5,O,O
раза,O,O
чаще,O,O
",",O,O
чем,O,O
у,O,O
пациентов,O,O
с,O,O
изолированными,B-TERM,O
повреждениями,I-TERM,B-TERM
груди,I-TERM,I-TERM
.,O,O
Таким,O,O
образом,O,O
",",O,O
изолированная,B-TERM,O
травма,I-TERM,O
груди,I-TERM,O
в,O,O
34,O,O
",",O,O
7,O,O
%,O,O
случаев,O,O
осложнялась,O,O
пневмотораксом,B-TERM,B-TERM
",",O,O
при,O,O
сочетанных,B-TERM,O
повреждениях,I-TERM,B-TERM
данный,O,O
признак,O,O
выявлен,O,O
у,O,O
21,O,O
",",O,O
6,O,O
%,O,O
больных,O,O
.,O,O
Гемо,O,B-TERM
-,O,I-TERM
и,O,I-TERM
гемопневмоторакс,B-TERM,B-TERM
в,O,O
большинстве,O,O
случаев,O,O
(,O,O
78,O,O
",",O,O
4,O,O
%,O,O
),O,O
возникали,O,O
при,O,O
сочетанных,B-TERM,O
повреждениях,I-TERM,B-TERM
груди,I-TERM,I-TERM
и,I-TERM,O
сегментов,I-TERM,O
конечностей,I-TERM,O
по,O,O
сравнению,O,O
с,O,O
изолированными,B-TERM,O
травмами,I-TERM,O
грудной,B-TERM,B-TERM
клетки,I-TERM,I-TERM
(,O,O
65,O,O
",",O,O
3,O,O
%,O,O
),O,O
.,O,O
В,O,O
статье,O,O
идет,O,O
речь,O,O
о,O,O
состоянии,O,O
",",O,O
проблемах,O,O
и,O,O
перспективах,O,O
развития,O,O
общего,B-TERM,B-TERM
среднего,I-TERM,I-TERM
образования,I-TERM,I-TERM
в,O,O
ряде,O,O
регионов,O,O
РФ,O,O
.,O,O
Опираясь,O,O
на,O,O
результаты,O,B-TERM
широкомасштабного,O,I-TERM
социологического,B-TERM,I-TERM
исследования,I-TERM,I-TERM
",",O,O
автор,O,O
рассматривает,O,O
",",O,O
насколько,O,O
эффективно,O,O
",",O,O
с,O,O
точки,O,O
зрения,O,O
респондентов,B-TERM,O
",",O,O
школы,B-TERM,O
выполняют,O,O
свои,O,O
основные,O,O
функции,B-TERM,O
.,O,O
Материалы,O,O
могут,O,O
представлять,O,O
определенный,O,O
интерес,O,O
для,O,O
специалистов,O,O
органов,B-TERM,O
управления,I-TERM,O
образованием,I-TERM,O
",",O,O
руководителей,O,O
ОУ,B-TERM,O
и,O,O
социологов,O,O
",",O,O
работающих,O,O
в,O,O
области,O,O
социологии,B-TERM,O
образования,I-TERM,O
.,O,O
В,O,O
работе,O,O
представлен,O,O
ряд,O,B-TERM
контекстов,B-TERM,I-TERM
и,O,O
смыслов,B-TERM,O
понятия,O,O
«,O,O
единица,B-TERM,O
»,O,O
как,O,O
дидактической,B-TERM,B-TERM
составляющей,I-TERM,I-TERM
в,B-TERM,I-TERM
педагогике,O,B-TERM
.,O,O
Рассмотрены,O,O
единицы,B-TERM,O
как,O,O
элементы,O,O
знания,B-TERM,O
или,O,O
единицы,B-TERM,O
учебной,B-TERM,B-TERM
информации,I-TERM,I-TERM
",",O,O
дидактические,B-TERM,B-TERM
единицы,I-TERM,I-TERM
и,O,O
укрупненные,B-TERM,O
дидактические,I-TERM,B-TERM
единицы,I-TERM,I-TERM
.,O,O
Различные,O,O
виды,O,O
единиц,B-TERM,O
позволяют,O,O
оптимально,O,O
организовать,O,O
учебный,B-TERM,O
процесс,I-TERM,O
.,O,O
Рассматриваются,O,O
роль,O,O
и,O,O
место,O,O
отзыва,O,O
по,O,O
прочитанной,O,O
книге,O,O
как,O,O
средства,O,O
повышения,O,B-TERM
речевой,B-TERM,I-TERM
компетенции,I-TERM,I-TERM
детей,B-TERM,I-TERM
на,O,O
уроках,B-TERM,O
русского,B-TERM,B-TERM
языка,I-TERM,I-TERM
",",O,O
обучающихся,B-TERM,O
на,I-TERM,O
дому,I-TERM,O
.,O,O
Эта,O,O
проблема,O,O
особенно,O,O
актуальна,O,O
",",O,O
поскольку,O,O
речевые,B-TERM,B-TERM
навыки,I-TERM,I-TERM
и,O,O
умения,O,O
данной,O,O
категории,O,O
школьников,B-TERM,O
находятся,O,O
в,O,O
явном,O,O
проигрыше,O,O
в,O,O
сравнении,O,O
с,O,O
их,O,O
остальными,O,O
сверстниками,O,O
",",O,O
посещающими,O,O
занятия,B-TERM,O
в,O,O
классе,B-TERM,O
.,O,O
Публикация,O,O
посвящена,O,O
проведению,O,B-TERM
Сибирского,O,I-TERM
лингвистического,O,I-TERM
чемпионата,O,I-TERM
по,O,O
морфологии,B-TERM,B-TERM
русского,B-TERM,I-TERM
языка,I-TERM,I-TERM
.,O,O
Авторы,O,O
приводят,O,O
примеры,O,O
заданий,B-TERM,O
и,O,O
анализируют,O,O
форму,O,B-TERM
организации,O,I-TERM
олимпиады,B-TERM,I-TERM
.,O,O
Представлен,O,O
опыт,O,B-TERM
комплексного,O,I-TERM
сопровождения,O,I-TERM
сети,O,I-TERM
специализированных,B-TERM,B-TERM
классов,I-TERM,I-TERM
математической,B-TERM,I-TERM
и,O,I-TERM
естественнонаучной,B-TERM,B-TERM
направленности,I-TERM,I-TERM
общеобразовательных,B-TERM,I-TERM
учреждений,I-TERM,I-TERM
Новосибирской,O,I-TERM
области,O,I-TERM
.,O,O
Особое,O,O
внимание,O,O
уделено,O,O
вопросам,O,O
создания,O,B-TERM
модели,O,I-TERM
управления,O,I-TERM
развитием,O,B-TERM
сети,O,I-TERM
специализированных,B-TERM,B-TERM
классов,I-TERM,I-TERM
",",O,O
научно,B-TERM,B-TERM
-,I-TERM,O
методическому,I-TERM,B-TERM
и,O,I-TERM
психолого,B-TERM,B-TERM
-,I-TERM,O
педагогическому,I-TERM,B-TERM
сопровождению,I-TERM,I-TERM
специализированного,B-TERM,I-TERM
обучения,I-TERM,I-TERM
.,O,O
Рассматриваются,O,O
актуальные,O,O
проблемы,O,O
психотерапии,B-TERM,O
искусством,I-TERM,O
как,O,O
одного,O,O
из,O,O
направлений,B-TERM,O
современной,O,O
клинико,B-TERM,B-TERM
-,I-TERM,O
психологической,I-TERM,B-TERM
практики,I-TERM,I-TERM
.,O,O
Систематизируются,O,O
данные,O,O
современных,O,O
отечественных,O,O
и,O,O
зарубежных,O,O
исследований,O,O
специфики,O,O
воздействия,O,B-TERM
произведений,O,I-TERM
искусства,O,I-TERM
на,O,O
личность,B-TERM,O
.,O,O
Предпринята,O,O
попытка,O,B-TERM
осмысления,O,I-TERM
механизмов,O,I-TERM
психотерапевтического,B-TERM,I-TERM
влияния,I-TERM,I-TERM
искусства,I-TERM,I-TERM
на,O,O
человека,O,O
с,O,O
позиций,O,O
русской,B-TERM,B-TERM
философской,I-TERM,I-TERM
традиции,I-TERM,I-TERM
(,O,O
концепция,O,O
искусства,O,O
И,O,O
.,O,O
А,O,O
.,O,O
Ильина,O,O
),O,O
.,O,O
Показана,O,O
перспективность,O,O
психотерапии,B-TERM,O
созерцанием,O,O
образцов,O,B-TERM
классического,O,I-TERM
искусства,O,I-TERM
.,O,O
Раскрываются,O,O
возможности,O,O
использования,O,B-TERM
художественных,B-TERM,I-TERM
произведений,I-TERM,I-TERM
как,O,O
источников,O,O
«,O,O
живого,O,O
»,O,B-TERM
психологического,B-TERM,I-TERM
знания,I-TERM,I-TERM
",",O,O
средств,B-TERM,B-TERM
самопознания,I-TERM,I-TERM
и,O,O
развития,O,O
значимых,O,O
в,O,O
профессиональном,O,O
плане,O,B-TERM
личностных,B-TERM,I-TERM
качеств,I-TERM,I-TERM
в,O,O
процессе,O,O
подготовки,O,B-TERM
специалистов,O,I-TERM
-,O,O
психологов,O,O
.,O,O
Превратившаяся,O,O
в,O,O
непреложный,O,O
жизненный,O,O
долг,O,O
обязанность,O,O
личности,B-TERM,O
по,O,O
созданию,O,O
собственной,O,O
идентичности,B-TERM,O
есть,O,O
",",O,O
с,O,O
одной,O,O
стороны,O,O
",",O,O
ответ,O,O
на,O,O
вызовы,O,O
времени,O,O
и,O,O
попытка,O,O
обретения,O,O
стабильности,O,O
в,O,O
нестабильном,O,B-TERM
мире,O,I-TERM
",",O,O
с,O,O
другой,O,O
–,O,O
новая,O,O
форма,B-TERM,B-TERM
социального,I-TERM,I-TERM
контроля,I-TERM,I-TERM
и,O,O
средство,B-TERM,O
извлечения,I-TERM,O
прибыли,O,O
",",O,O
вызванные,O,O
к,O,O
жизни,O,O
логикой,B-TERM,O
развития,I-TERM,B-TERM
неолиберального,B-TERM,I-TERM
капитализма,I-TERM,I-TERM
.,O,O
Автор,O,O
обращает,O,O
внимание,O,O
на,O,O
сосредоточенность,O,O
современных,O,O
исследований,O,O
при,O,O
изучении,O,O
феномена,B-TERM,O
«,I-TERM,O
красоты,I-TERM,B-TERM
человека,I-TERM,I-TERM
»,I-TERM,O
на,O,O
внешней,O,O
привлекательности,O,O
.,O,O
Предлагается,O,O
рассматривать,O,O
данный,O,O
феномен,B-TERM,O
целостно,O,O
",",O,O
с,O,O
учетом,O,O
духовно,B-TERM,B-TERM
-,I-TERM,O
душевно,I-TERM,B-TERM
-,I-TERM,O
телесной,I-TERM,B-TERM
природы,I-TERM,I-TERM
человека,I-TERM,I-TERM
.,O,O
При,O,O
исследовании,O,O
данной,O,O
проблемы,O,O
автор,O,O
считает,O,O
полезным,O,O
привлечение,O,O
литературно,B-TERM,B-TERM
-,I-TERM,O
художественного,I-TERM,B-TERM
материала,I-TERM,I-TERM
.,O,O
Ценностное,B-TERM,B-TERM
измерение,I-TERM,I-TERM
понимается,O,O
как,O,O
оценка,O,O
интенсивности,B-TERM,B-TERM
ценностных,B-TERM,I-TERM
отношений,I-TERM,I-TERM
личности,B-TERM,O
к,O,O
себе,O,O
и,O,O
другим,O,O
.,O,O
Выделяются,O,O
ценностные,B-TERM,B-TERM
критерии,I-TERM,I-TERM
идентификации,B-TERM,I-TERM
(,O,O
«,B-TERM,O
Я,I-TERM,O
»,I-TERM,O
",",O,O
«,B-TERM,O
Идеальное,I-TERM,B-TERM
»,I-TERM,O
",",O,O
«,B-TERM,O
Антиидеальное,I-TERM,B-TERM
»,I-TERM,O
),O,O
и,O,O
соответствующие,O,O
им,O,O
ценностные,B-TERM,B-TERM
уровни,I-TERM,I-TERM
в,O,O
структуре,B-TERM,O
идентичности,I-TERM,O
.,O,O
Обсуждаются,O,O
возможные,O,O
механизмы,B-TERM,O
идентификации,I-TERM,O
",",O,O
специфичные,O,O
для,O,O
разных,O,O
уровней,O,O
и,O,O
разновидностей,O,O
идентичности,B-TERM,O
.,O,O
Анализируются,O,O
российские,O,O
диссертации,B-TERM,O
последних,O,O
десяти,O,O
лет,O,O
",",O,O
посвященные,O,O
проблеме,O,B-TERM
личностной,B-TERM,I-TERM
идентичности,I-TERM,I-TERM
.,O,O
Обсуждается,O,O
определение,O,O
и,O,O
понимание,O,B-TERM
феномена,B-TERM,I-TERM
личностной,I-TERM,I-TERM
идентичности,I-TERM,I-TERM
.,O,O
Отсутствуют,O,O
единые,O,B-TERM
представления,O,I-TERM
о,O,O
содержании,O,O
и,O,O
определении,O,B-TERM
личностной,B-TERM,I-TERM
идентичности,I-TERM,I-TERM
",",O,O
содержание,O,B-TERM
личностной,B-TERM,I-TERM
идентичности,I-TERM,I-TERM
специфично,O,O
на,O,O
каждом,O,O
этапе,O,O
её,O,O
становления,B-TERM,O
.,O,O
Рассматриваются,O,O
факторы,B-TERM,O
становления,I-TERM,B-TERM
личностной,B-TERM,I-TERM
идентичности,I-TERM,I-TERM
.,O,O
Изучены,O,O
факторы,B-TERM,O
самооценки,B-TERM,O
",",O,O
принятия,B-TERM,O
себя,I-TERM,O
",",O,O
развития,O,O
мышления,B-TERM,O
",",O,O
миграции,B-TERM,O
",",O,O
продолжительного,O,O
неуспеха,O,O
",",O,O
предпочитаемых,O,O
когнитивных,B-TERM,B-TERM
стилей,I-TERM,I-TERM
и,O,O
др,O,O
.,O,O
Ставится,O,O
вопрос,O,O
о,O,O
неравнозначности,O,B-TERM
вклада,O,I-TERM
различных,O,O
факторов,B-TERM,O
и,O,O
об,O,O
их,O,O
соотношении,O,O
.,O,O
Рассматривается,O,O
проблема,O,O
диспропорции,O,B-TERM
объема,O,I-TERM
административных,B-TERM,O
расходов,I-TERM,O
в,O,O
общей,O,O
структуре,O,O
расходной,B-TERM,O
части,I-TERM,O
местных,B-TERM,O
бюджетов,I-TERM,O
в,O,O
период,O,B-TERM
НЭПа,B-TERM,I-TERM
.,O,O
Выделяется,O,O
специфика,O,O
указанной,O,O
проблемы,B-TERM,O
",",O,O
свойственная,O,O
советскому,O,O
периоду,O,O
развития,O,O
государства,O,O
и,O,O
права,O,O
.,O,O
В,O,O
обоснование,O,O
масштабности,O,O
описываемого,O,O
явления,B-TERM,O
приводятся,O,O
статистические,O,O
бюджетные,B-TERM,O
показатели,I-TERM,O
",",O,O
характерные,O,O
для,O,O
1922,O,O
–,O,O
1930,O,O
гг,O,O
.,O,O
Устанавливаются,O,O
причины,O,O
несоразмерно,O,O
высокого,O,O
уровня,O,O
административных,B-TERM,O
расходов,I-TERM,O
в,O,O
структуре,O,O
местных,B-TERM,O
финансов,I-TERM,O
и,O,O
оценивается,O,O
влияние,O,O
их,O,O
величины,O,O
на,O,O
возможность,O,O
создания,O,O
системы,B-TERM,O
самостоятельных,I-TERM,O
бюджетов,I-TERM,O
на,O,O
местах,O,O
.,O,O
Анализируется,O,O
алгоритм,B-TERM,O
преодоления,O,O
этой,O,O
проблемы,B-TERM,O
",",O,O
оценивается,O,O
эффективность,O,O
предпринятых,O,O
мер,O,O
.,O,O
Формируется,O,O
мнение,O,O
о,O,O
том,O,O
",",O,O
что,O,O
деятельность,O,B-TERM
правоприменителя,B-TERM,I-TERM
носила,O,O
непродуманный,O,O
характер,O,O
",",O,O
основывалась,O,O
на,O,O
поверхностном,O,O
видении,O,O
происходящих,O,O
процессов,B-TERM,O
и,O,O
не,O,O
отвечала,O,O
требованиям,O,O
целесообразности,O,O
.,O,O
Обосновывается,O,O
необходимость,O,O
применения,O,O
комплексного,B-TERM,O
подхода,I-TERM,O
к,O,O
решению,O,O
задачи,O,O
снижения,O,O
доли,O,B-TERM
административных,B-TERM,I-TERM
расходов,I-TERM,I-TERM
в,O,O
структуре,O,O
местных,B-TERM,O
бюджетов,I-TERM,O
в,O,O
период,O,B-TERM
НЭПа,B-TERM,I-TERM
.,O,O
Статья,O,O
посвящена,O,O
проблеме,O,O
вины,B-TERM,O
в,O,O
гражданском,B-TERM,O
праве,I-TERM,O
.,O,O
Показано,O,O
",",O,O
что,O,O
в,O,O
разные,O,O
исторические,O,O
периоды,O,O
понимание,O,O
вины,B-TERM,O
в,O,O
гражданском,B-TERM,O
праве,I-TERM,O
было,O,O
различным,O,O
",",O,O
менялись,O,O
и,O,O
научные,O,O
представления,O,O
о,O,O
ней,O,O
.,O,O
Если,O,O
в,O,O
римском,B-TERM,O
праве,O,O
вина,B-TERM,O
воспринималась,O,O
как,O,O
объективная,B-TERM,O
категория,I-TERM,O
",",O,O
то,O,O
в,O,O
последующем,O,O
она,O,O
стала,O,O
приобретать,O,O
субъективный,B-TERM,O
характер,I-TERM,O
.,O,O
В,O,O
российском,B-TERM,O
законодательстве,I-TERM,O
не,O,O
существовало,O,O
общей,O,O
нормы,B-TERM,O
о,O,O
вине,B-TERM,O
",",O,O
она,O,O
определялась,O,O
через,O,O
ее,O,O
формы,O,O
.,O,O
Долгое,O,O
время,O,O
и,O,O
в,O,O
литературе,O,O
эта,O,O
правовая,B-TERM,O
категория,I-TERM,O
специально,O,O
не,O,O
изучалась,O,O
",",O,O
исследовались,O,O
лишь,O,O
ее,O,O
формы,O,O
(,O,O
умысел,B-TERM,O
и,O,O
неосторожность,B-TERM,O
),O,O
.,O,O
Среди,O,O
ученых,O,O
советского,O,O
периода,O,O
преобладало,O,O
субъективное,O,O
понимание,O,O
вины,B-TERM,O
",",O,O
такой,O,O
же,O,O
подход,O,O
к,O,O
вине,B-TERM,O
преобладает,O,O
и,O,O
в,O,O
современной,O,B-TERM
цивилистической,B-TERM,I-TERM
литературе,I-TERM,I-TERM
.,O,O
В,O,O
абзаце,O,O
2,O,O
п,O,O
.,O,O
1,O,O
ст,O,O
.,O,O
401,O,O
ГК,O,O
РФ,O,O
впервые,O,O
содержится,O,O
правило,O,O
",",O,O
которое,O,O
сторонники,O,O
объективного,O,O
понимания,O,O
вины,B-TERM,O
рассматривают,O,O
как,O,O
попытку,O,B-TERM
законодателя,B-TERM,I-TERM
определить,O,O
общее,O,O
понятие,O,O
вины,B-TERM,O
.,O,O
Дан,O,O
критический,B-TERM,O
анализ,I-TERM,O
«,B-TERM,O
объективистской,I-TERM,B-TERM
»,I-TERM,O
концепции,I-TERM,O
вины,I-TERM,O
.,O,O
Определены,O,O
основные,O,O
признаки,O,O
вины,B-TERM,O
как,O,O
психического,B-TERM,O
отношения,I-TERM,B-TERM
правонарушителя,B-TERM,I-TERM
к,O,O
своему,O,O
противоправному,B-TERM,O
поведению,I-TERM,O
и,O,O
его,O,O
результату,O,O
.,O,O
На,O,O
основе,O,O
выявленных,O,O
признаков,O,O
сформулировано,O,O
понятие,O,O
вины,B-TERM,O
как,O,O
субъективного,B-TERM,O
условия,I-TERM,O
гражданско,B-TERM,B-TERM
-,I-TERM,O
правовой,I-TERM,B-TERM
ответственности,I-TERM,I-TERM
.,O,O
Позитивная,O,O
оценка,O,O
правосудия,B-TERM,O
зависит,O,O
",",O,O
в,O,O
том,O,O
числе,O,O
",",O,O
и,O,O
от,O,O
ценности,O,O
самого,O,O
результата,O,B-TERM
судебного,B-TERM,I-TERM
разбирательства,I-TERM,I-TERM
.,O,O
В,O,O
связи,O,O
с,O,O
этим,O,O
особое,O,O
значение,O,O
приобретают,O,O
мотивация,O,O
в,O,O
достижении,O,O
цели,O,O
правосудия,B-TERM,O
",",O,O
наличие,O,O
фактически,O,O
равных,O,O
возможностей,O,O
сторон,B-TERM,O
в,O,O
судебном,B-TERM,O
процессе,I-TERM,O
",",O,O
обеспечение,O,O
свободы,B-TERM,O
субъектов,B-TERM,O
в,O,O
выборе,O,O
способов,B-TERM,O
защиты,I-TERM,O
нарушенных,I-TERM,O
прав,I-TERM,O
.,O,O
Уделяется,O,O
внимание,O,O
теории,B-TERM,O
справедливости,I-TERM,O
и,I-TERM,O
ожидания,I-TERM,O
",",O,O
которая,O,O
рассматривается,O,O
в,O,O
качестве,O,B-TERM
процессуальной,B-TERM,I-TERM
теории,I-TERM,I-TERM
равенства,I-TERM,I-TERM
",",I-TERM,O
свободы,I-TERM,O
и,I-TERM,O
мотивации,I-TERM,O
.,O,O
Справедливость,B-TERM,O
исследуется,O,O
как,O,O
универсальная,B-TERM,O
категория,I-TERM,O
",",O,O
позволяющая,O,O
определить,O,O
эффективность,O,O
отправляемого,O,O
правосудия,B-TERM,B-TERM
и,O,O
приоритет,O,O
для,O,O
лица,O,O
тех,O,O
или,O,O
иных,O,O
результатов,O,O
.,O,O
В,O,O
основу,O,O
права,B-TERM,O
на,I-TERM,O
справедливое,I-TERM,O
судебное,I-TERM,O
разбирательство,I-TERM,O
",",O,O
по,O,O
мнению,O,O
автора,O,O
настоящей,O,O
статьи,O,O
",",O,O
положена,O,O
триада,O,O
форм,B-TERM,O
справедливости,I-TERM,O
",",O,O
образующих,O,O
цикл,O,O
эффективной,O,O
реализации,O,O
указанного,O,O
права,B-TERM,O
",",O,O
–,O,O
ожидание,B-TERM,O
справедливости,I-TERM,O
",",O,O
справедливое,B-TERM,O
судебное,I-TERM,O
разбирательство,I-TERM,O
",",O,O
справедливый,B-TERM,O
результат,I-TERM,O
.,O,O
Любая,O,O
из,O,O
перечисленных,O,O
форм,B-TERM,O
справедливости,I-TERM,O
в,O,O
рамках,O,O
права,B-TERM,O
на,I-TERM,O
справедливое,I-TERM,O
судебное,I-TERM,O
разбирательство,I-TERM,O
обладает,O,O
собственными,O,O
задачами,O,B-TERM
судопроизводства,B-TERM,I-TERM
.,O,O
Единство,O,O
объективных,B-TERM,O
(,O,O
легальных,B-TERM,O
),O,O
и,O,O
субъективных,B-TERM,O
(,O,O
внутренних,B-TERM,O
),O,O
задач,B-TERM,O
каждой,O,O
из,O,O
форм,B-TERM,O
справедливости,I-TERM,O
способствует,O,O
созданию,O,O
реальной,B-TERM,O
справедливости,I-TERM,O
.,O,O
При,O,O
вынесении,B-TERM,O
решения,I-TERM,O
судья,B-TERM,O
в,O,O
случае,O,O
отсутствия,O,B-TERM
формального,B-TERM,I-TERM
источника,I-TERM,I-TERM
права,I-TERM,I-TERM
не,O,O
должен,O,O
ограничиваться,O,O
исключительно,O,O
позитивистским,B-TERM,B-TERM
подходом,I-TERM,I-TERM
.,O,O
Представлено,O,O
геополитическое,O,B-TERM
и,O,I-TERM
национальное,O,O
видение,O,O
противодействия,B-TERM,O
коррупции,I-TERM,O
с,O,O
абсолютно,O,O
новых,O,O
позиций,O,O
:,O,O
демонтажа,O,B-TERM
мировых,B-TERM,I-TERM
коррупционных,I-TERM,I-TERM
институтов,I-TERM,I-TERM
и,O,O
создания,O,B-TERM
неангажированных,O,I-TERM
международных,B-TERM,I-TERM
органов,I-TERM,I-TERM
обеспечения,I-TERM,I-TERM
движения,I-TERM,I-TERM
финансовых,I-TERM,I-TERM
потоков,I-TERM,I-TERM
.,O,O
Ратификация,B-TERM,B-TERM
Конвенции,B-TERM,I-TERM
ООН,I-TERM,O
против,I-TERM,O
коррупции,I-TERM,O
",",O,O
принятой,O,O
резолюцией,B-TERM,O
58,O,O
/,O,O
4,O,O
Генеральной,O,O
Ассамблеи,O,O
от,O,O
31,O,O
октября,O,O
2003,O,O
г,O,O
.,O,O
",",O,O
определила,O,O
обязательство,O,O
придерживаться,O,O
понятий,O,O
активного,B-TERM,O
и,O,O
пассивного,B-TERM,B-TERM
подкупа,I-TERM,I-TERM
публичных,B-TERM,I-TERM
должностных,I-TERM,O
лиц,I-TERM,O
",",O,O
членов,B-TERM,O
национальных,I-TERM,B-TERM
публичных,I-TERM,I-TERM
собраний,I-TERM,I-TERM
",",O,O
судей,B-TERM,O
",",O,O
отмывания,B-TERM,O
доходов,I-TERM,O
от,O,O
преступлений,B-TERM,O
",",O,O
связанных,O,O
с,O,O
коррупцией,B-TERM,O
.,O,O
Существование,O,O
принципа,B-TERM,B-TERM
состязательности,I-TERM,I-TERM
